やおや, greengrocer
やすむ, to be absent
やすみ, rest
やさしい, easy
やすい, cheap
やっつ, eight
ゆき, snow
ゆうびんきょく, post office
ゆうめい, famous
ゆうがた, early evening
ゆうはん, evening meal
ゆっくり, slowly
よる, night
より, than
よむ, to read
よぶ, to call out
よわい, weak
ようふく, Western-style clothes
よこ, horizontal
よっつ, four
よく, nicely
ようか, 8th day of the month
よっか, 4th day of the month
らいしゅう, next week
らいねん, next year
らいげつ, next month
りょこう, travel
りょうり, cooking
りっぱ, splendid
りゅうがくせい, overseas student
れいぞうこ, refrigerator
れんしゅう, practice
れい, zero
ろうか, corridor
わたし, I
わたす, to ferry across
わかる, to understand
わるい, bad
わかい, young
わたる, to cross over
わすれる, to forget
がっこう, school
がいこくじん, foreigner
がくせい, student
ぎんこう, bank
ぎゅうにく, beef
ぎゅうにゅう,  milk
げんかん, entrance
げつようび, Monday
げんき, lively
ごご, afternoon
ごぜん, morning
ごはん, cooked rice
いつか, 5th day of the month
おさけ, alcohol
ざっし, magazine
じかん, time
じてんしゃ, bicycle
じゅぎょう, lesson
じどうしゃ, car
じぶん, myself
じょうず, skillful
じしょ, dictionary
じょうぶ, healthy
じゃあ, then
じびき, dictionary
ぜんぶ, all
だいがく, university
だいどころ, kitchen
だす, to take out
だいすき, liking very much
だいじょうぶ, safe
だんだん, gradually
だれか, someone
でんわ, telephone call
でんしゃ, train
でんき, electricity
できる, to be able to do
でる, to leave
でかける, to go out
でも, but
でぐち, exit
では, then, OVERRIDE_AUTO_READING, dewa
どうぶつ, animal
どようび, Saturday
どの, which
どこ, where
どなた, who
どう, how
どうぞ, please
どうも, thank you
どれ, which
ばんごう, number
ばん, evening
ばんごはん, dinner
びょうき, illness
びょういん, hospital
べんきょう, study
べんり, convenient
ぼうし, hat
あかちゃん, baby
しょうにん, merchant
あそこ, there
あいまい, vague
あがる, to rise
あつまる, to gather
あみ, net
あく, evil
あつりょく, pressure
あご, jaw
あんじ, hint
たにん, another person
あらわれる, to appear
あたり,  neighbourhood
あらわれ, embodiment
あう, to meet
あしあと, footprints
あけがた, dawn
もち, mochi
あっしゅく, compression
あみもの, knitting
あかんぼう, baby
あき, space
あらい, coarse
あいかわらず, as usual
あわてる, to become confused
あずかる, to look after
あたりまえ, natural
あまる, to remain
あらそう, to compete
あたたまる, to warm oneself
い, Italy
かみなり, lightning
いつ, always
いろいろ, various
おこる, to get angry
いかり, anger
いのり, prayer
いみん, immigration
いせき, archeological remains
いためる, to fry
ひとこと, single word
おととし, year before last
いど, water well
いちおう, more or less
いったん, once
いけばな, ikebana
おととい, day before yesterday
いきいき, in a lively way
いこう, on and after
いちりゅう, first-class
いってい, to fix
いちいち, one-by-one
いちだん, even more
いてん, moving
やぬし, landlord
いぎ, meaning
いご, after this
いくじ, childcare
いやがる, to appear uncomfortable
いくぶん, somewhat
いじわる, malicious
う, the Rabbit
ゆでる, to boil
