ア, 0, 3, 1
イ, 0, 5, 2
ウ, 0, 4, 1
エ
オ, 0, 1, 1
カ, 0, 2, 2
キ, 1, 9, 5
ク, 0, 17, 5
ケ, 0, 5, 3
コ, 0, 4, 1
サ
シ, 1, 10, 4
ス, 1, 27, 12
セ, 0, 3, 1
ソ, 0, 1, 1
タ, 1, 9, 4
チ
ツ, 0, 1, 1
テ, 0, 2, 2
ト, 1, 16, 9
ナ, 0, 9, 3
ニ
ヌ
ネ, 0, 4, 1
ノ
ハ
ヒ
フ, 0, 3, 1
ヘ, 0, 3, 2
ホ, 0, 5, 1
マ, 0, 6, 2
ミ, 0, 4, 1
ム, 1, 12, 5
メ, 0, 1, 1
モ, 0, 6, 3
ヤ
ユ
ヨ
ラ, 0, 2, 2
リ, 2, 11, 6
ル, 0, 2, 2
レ, 0, 6, 3
ロ, 0, 6, 4
ワ
ン, 1, 21, 12
